"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2019,"2019-01-01","2019-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2487,0,0,0
2019,"2019-01-01","2019-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",11693,0,0,0
2019,"2019-01-01","2019-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",5175,0,0,0
2020,"2020-01-01","2020-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",834,0,0,0
2020,"2020-01-01","2020-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",12652,0,0,0
2020,"2020-01-01","2020-12-31","nt","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",372,0,0,0
2020,"2020-01-01","2020-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",8871,0,0,0
2020,"2020-01-01","2020-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",5728,0,0,0
2020,"2020-01-01","2020-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",3273,0,0,0
2020,"2020-01-01","2020-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",10256,0,0,0
2020,"2020-01-01","2020-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",4919,0,0,0
2021,"2021-01-01","2021-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",461,0,0,0
2021,"2021-01-01","2021-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",16997,0,0,0
2021,"2021-01-01","2021-12-31","nt","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",273,0,0,0
2021,"2021-01-01","2021-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",9847,0,0,0
2021,"2021-01-01","2021-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",4226,0,0,0
2021,"2021-01-01","2021-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2618,0,0,0
2021,"2021-01-01","2021-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",9717,0,0,0
2021,"2021-01-01","2021-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",5326,0,0,0
2022,"2022-01-01","2022-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",390,0,0,0
2022,"2022-01-01","2022-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",9527,0,0,0
2022,"2022-01-01","2022-12-31","nt","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",181,0,0,0
2022,"2022-01-01","2022-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",12064,0,0,0
2022,"2022-01-01","2022-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",5607,0,0,0
2022,"2022-01-01","2022-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2209,0,0,0
2022,"2022-01-01","2022-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",10628,0,0,0
2022,"2022-01-01","2022-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",6262,0,0,0
2023,"2023-01-01","2023-01-31","act","major cities of australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","Yes","No","Not applicable","Not applicable","No","No","Not applicable",2,0,0,2
2023,"2023-01-01","2023-01-31","act","major cities of australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","Yes","Yes","No","Not applicable","Not applicable","No","No","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","act","major cities of australia","26-39","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","No","No","Not applicable","Not applicable","No","Yes","Not applicable",6,0,1,6
2023,"2023-01-01","2023-01-31","act","major cities of australia","26-39","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","No","No","Not applicable","Not applicable","Yes","No","Not applicable",1,0,1,1
2023,"2023-01-01","2023-01-31","act","major cities of australia","26-39","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","Yes","No","Not applicable","Not applicable","No","No","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","act","major cities of australia","26-39","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","Yes","No","No","Not applicable","Not applicable","No","No","Not applicable",2,0,0,2
2023,"2023-01-01","2023-01-31","act","major cities of australia","40-64","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","No","No","Not applicable","Not applicable","No","Yes","Not applicable",3,0,1,3
2023,"2023-01-01","2023-01-31","act","major cities of australia","40-64","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","Yes","No","Not applicable","Not applicable","No","No","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","act","major cities of australia","40-64","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","Yes","No","No","Not applicable","Not applicable","No","No","Not applicable",2,0,0,2
2023,"2023-01-01","2023-01-31","act","major cities of australia","40-64","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","Yes","No","No","Not applicable","Not applicable","Yes","No","Not applicable",1,0,1,1
2023,"2023-01-01","2023-01-31","act","major cities of australia","40-64","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","Yes","Yes","No","Not applicable","Not applicable","No","No","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","indicator (stage 1)","No","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",4,1,0,3
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","indicator (stage 1)","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",27,8,0,19
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","indicator (stage 1)","No","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",1,1,0,0
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","indicator (stage 1)","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",10,6,0,4
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","indicator (stage 1)","Yes","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2,2,0,0
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","indicator (stage 1)","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2,0,0,2
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","secondary confirmatory (stage 2)","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",7,4,0,3
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","secondary confirmatory (stage 2)","No","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",3,1,0,2
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","secondary confirmatory (stage 2)","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",19,4,0,15
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","secondary confirmatory (stage 2)","No","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","secondary confirmatory (stage 2)","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",7,5,0,2
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","secondary confirmatory (stage 2)","Yes","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2,2,0,0
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","No","secondary confirmatory (stage 2)","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",7,2,0,5
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","No","No","No","Not applicable","Not applicable","Yes","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","No","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,1,0,0
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","No","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",23,7,0,16
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","Yes","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",2,2,0,0
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","No","Yes","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,1,0,0
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable",7,4,0,3
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","Yes","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable",1,1,0,0
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","Yes","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable",6,2,0,4
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","17-25","positive_drug_tests","Yes","laboratory or toxicology (stage 3)","Yes","Yes","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","26-39","positive_drug_tests","No","indicator (stage 1)","No","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","26-39","positive_drug_tests","No","indicator (stage 1)","No","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",46,19,0,27
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","26-39","positive_drug_tests","No","indicator (stage 1)","No","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",1,0,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","26-39","positive_drug_tests","No","indicator (stage 1)","Yes","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",39,14,0,25
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","26-39","positive_drug_tests","No","indicator (stage 1)","Yes","No","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2,1,0,1
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","26-39","positive_drug_tests","No","indicator (stage 1)","Yes","Yes","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",7,2,0,5
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","26-39","positive_drug_tests","No","indicator (stage 1)","Yes","Yes","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",1,1,0,0
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","26-39","positive_drug_tests","No","secondary confirmatory (stage 2)","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",22,7,0,15
2023,"2023-01-01","2023-01-31","nsw","inner regional australia","26-39","positive_drug_tests","No","secondary confirmatory (stage 2)","No","No","No","Not applicable","Not applicable","Not applicable","Yes","Not applicable",1,0,0,1
